!SIL SIL
<NOISE> SIL
<SPOKEN_NOISE> SIL
<unk> SIL
A	ei
敞	ch ang
敢	g an
敢    g ann
散	s an
散    s an
散步    s an b o
敦	d un
敬	z ing
敬    g ing
敬請	z ing c ing
敲	c iau
敲    g ong
敲    k a
敲    k ok
敲    l ong
整	zh ng
整個	zh ng g er
整個    g ui
整個    g ui  e
整合	zh ng h er
整家人    g ui g e h ue  a
整理	zh ng l i
整理    z ing l i
整體	zh ng t i
敵	d i
敵人	d i rh ern
敷	f u
數	sh u
數    s o
數位	sh u uei
數字	sh u z ii
數學	sh u s yue
數學    s o h ak
數據	sh u z yu
數量	sh u l iang
敺	c yu
斂	l ien
斃	b i
文	un
文    bh un
文件	un z ien
文化	un h ua
文化    bh un h ua
文字	un z ii
文學	un s yue
文明	un m ing
文章	un zh ang
斌	b in
斐	f ei
斑	b an
斕	l an
斗	d ou
斗    d au
料	l iau
料理	l iau l i
料理    l iau l i
斛	h u
斜	s ie
斟	zh ern
斡	uo
斤	z in
斤    g in
斥	ch ii
斧	f u
斫	zh uo
斬	zh an
斯	s ii
新	s in
新    s in
新人	s in rh ern
新加坡	s in z ia p uo
新增	s in z ng
新娘	s in n iang
新娘    s in n iu
新年	s in n ien
新年    s in n i
新手	s in sh ou
新港    s in g ang
新的	s in d i
新竹	s in zh u
新聞	s in un
新聞    s in bh un
新興	s in s ing
新鮮	s in s ien
斲	zh uo
斷	d uan
斷    d ng
方	f ang
方便	f ang b ien
方便    h ong b en
方便    l i b en
方向	f ang s iang
方向    h ong h iong
方向盤	h an d o l u
方式	f ang sh ii
方式    h ong h uat
方式    h ong s ik
方案	f ang an
方法	f ang f a
方法    b an h uat
方法    h ong h uat
方法    h uat d o
方法    l o
方面	f ang m ien
於	u
於	yu
於是	yu sh ii
施	sh ii
施工	sh ii g ong
旁	p ang
旁    b ing
旁邊	p ang b ien
旂	c i
旃	zh an
旄	m au
旅	l yu
旅客	l yu k er
旅程	l yu ch ng
旅行	l yu s ing
旅行    l i h ing
旅遊	l yu iou
旅館	l yu g uan
旆	p ei
旋	s yuan
旋轉	s yuan zh uan
旌	z ing
旎	n i
族	z u
族    z ok
族群	z u c yun
族群    z ok g un
旖	i
旗	c i
既	z i
既然	z i rh an
既然    g i r en
日	rh ii
日    r it
日出    r it c ut
日前	rh ii c ien
日報	rh ii b au
日子	rh ii z ii
日子    r it z i
日常	rh ii ch ang
日式	rh ii sh ii
日後	rh ii h ou
日後     i  au
日文	rh ii un
日月潭    r it gh uat t am
日期	rh ii c i
日本	rh ii b ern
日本    r it b un
日本人	rh ii b ern rh ern
日本人    r it b un l ang
日記	rh ii z i
日誌	rh ii zh ii
日語    r it gh i
旦	d an
旨	zh ii
早	z au
早    z a
早上	z au sh ang
早上    z a k i
早安    gh au z a
早期	z au c i
早餐	z au c an
早餐    z a d ng
旬	s yun
旭	s yu
旮	g a
旯	l a
旰	g an
旱	h an
旺	uang
旺     ong
旻	m in
昀	yun
昂	ang
昆	k un
昇	sh ng
昉	f ang
昊	h au
昌	ch ang
明	m ing
明    bh ing
明天	m ing t ien
明天    bh in  a z ai
明年	m ing n ien
明明	m ing m ing
明明    bh ing bh ing
明明    h un bh ing
明星	m ing s ing
明朝    bh ing d iau
明白	m ing b ai
明白    bh at
明白    l iau
明確	m ing c yue
明顯	m ing s ien
昏	h un
易	i
昔	s i
昕	s in
昝	z an
星	s ing
星    c enn
星光	s ing g uang
星座	s ing z uo
星星	s ing s ing
星期	s ing c i
星期    l e b ai
映	ing
昡	s yuan
春	ch un
春    c un
春天	ch un t ien
春天    c un t inn
春節	ch un z ie
春風    c un h ong
昧	m ei
昨	z uo
昨天	z uo t ien
昨天    z a h ng
昨日	z uo rh ii
昨晚    z a  am
昨晚    z a m e
昭	zh au
昭慶寺    z iau k ing s i
是	sh ii
是    s i
是否	sh ii f ou
昱	yu
昴	m au
昵	n i
昺	b ing
晁	ch au
時	sh ii
時代	sh ii d ai
時代    s i d ai
時候	sh ii h ou
時候    s i
時候    s i z un
時光	sh ii g uang
時刻	sh ii k er
時報	sh ii b au
時尚	sh ii sh ang
時期	sh ii c i
時期    s i d ai
時機	sh ii z i
時機    s i g i
時段	sh ii d uan
時空	sh ii k ong
時間	sh ii z ien
時間    r it z i
時間    s i g an
時髦    p ann
晃	h uang
晃    h ainn
晉	z in
晌	sh ang
晏	ien
晚	uan
晚     am
晚     uann
晚    m e
晚上	uan sh ang
晚上     am s i
晚上     am s i  a
晚輩    s i s e
晚餐	uan c an
晚餐     am d ng
晝	zh ou
晞	s i
晟	ch ng
晟	sh ng
晡	b u
晡    b o
晤	u
晦	h uei
晨	ch ern
普	p u
普通	p u t ong
普遍	p u b ien
景	z ing
景    g ing
景觀	z ing g uan
景點	z ing d ien
晰	s i
晴	c ing
晶	z ing
晷	g uei
智	zh ii
智慧	zh ii h uei
智慧    d i h ui
晾	l iang
暄	s yuan
暇	s ia
暈	yun
暉	h uei
暌	k uei
暍	h er
暐	uei
暑	sh u
暑假	sh u z ia
暑假    h iorh r uah
暖	n uan
暗	an
暗     am
暗淡     am d am
暘	iang
暝	m ing
暢	ch ang
暨	z i
暫	zh an
暫時	zh an sh ii
暫時    z iam s i
暮	m u
暱	n i
暴	b au
暴力	b au l i
暹	s ien
暾	t un
曄	ie
曆	l i
曇	t an
曈	t ong
曉	s iau
曉    h iau
曉得	s iau d er
曉得    z ai  iann
曌	zh au
曖	ai
曙	sh u
曜	iau
曝	p u
曝    p ak
曝光	p u g uang
曠	k uang
曦	s i
曩	n ang
曬	sh ai
曰	yue
曲	c yu
曳	i
更	g ng
更    k ah
更加	g ng z ia
更加    g ing g a
更加    g orh k ah
更換	g ng h uan
更改	g ng g ai
更改    g ai b en
更新	g ng s in
更為	g ng uei
曷	h er
書	sh u
書    c eh
書    s u
書店	sh u d ien
書籍	sh u z i
書籤	sh u c ien
書院    s u  inn
曹	c au
曼	m an
曾	z ng
曾經	c ng z ing
曾經    bh at
替	t i
替    t e
最	z uei
最    s iong g ai
最    z ue
最低	z uei d i
最佳	z uei z ia
最初	z uei ch u
最多	z uei d uo
最大	z uei d a
最好	z uei h au
最後	z uei h ou
最後    l orh bh ue
最後    z ue  au
最愛	z uei ai
最新	z uei s in
最終	z uei zh ong
最近	z uei z in
最近    bh ok z en
最近    z ue g in
最高	z uei g au
會	h uei
會     e
會     e h iau
會    h ue
會員	h uei yuan
會計	k uai z i
會議	h uei i
會長	h uei zh ang
月	yue
月    gh uat
月    gh ueh
月亮    gh ueh n iu
月份	yue f ern
月光    gh ueh g ng
月台    gh uat d ai
月餅    gh ueh b iann
有	iou
有     iu
有     u
有些	iou s ie
有名	iou m ing
有名     u m ia
有名    c ut m ia
有所	iou s uo
有效	iou s iau
有時	iou sh ii
有時候	iou sh ii h ou
有時候     u d ang s i  a
有時候    s am b ut gh o s i
有機	iou z i
有用	iou iong
有的	iou d er
有空	iou k ong
有空     u  ing
有線	iou s ien
有趣	iou c yu
有趣    c u bh i
有趣    s im s ik
有關	iou g uan
有限	iou s ien
有點	iou d ien
朋	p ng
朋友	p ng iou
朋友    b ing  iu
服	f u
服務	f u u
服務    h ok bh u
服用	f u iong
服裝	f u zh uang
服飾	f u sh ii
朓	t iau
朔	sh uo
朕	zh ern
朗	l ang
望	uang
望    bh ang
望    bh ong
朝	ch au
期	c i
期待	c i d ai
期待    g i t ai
期望	c i uang
期望    bh ang
期望    h i bh ang
期間	c i z ien
期間    r it z i
期限	c i s ien
朦	m ng
朧	l ong
木	m u
木工    bh ak g ang
未	uei
未    bh ue
未來	uei l ai
未來    bh i l ai
未來    z iong l ai
未滿	uei m an
末	m uo
本	b ern
本    b un
本人	b ern rh ern
本人    g a g i
本來	b ern l ai
本來    b un l ai
本來    b un z iann
本來    gh uan b un
本土	b ern t u
本地	b ern d i
本質	b ern zh ii
本身	b ern sh ern
本身    g a g i
札	zh a
朮	zh u
朱	zh u
朱    z u
朴	p u
朴	p uo
朵	d uo
朵    l ui
朽	s iou
朿	c ii
杅	yu
杈	ch a
杉	sh an
杌	u
李	l i
李    l i
杏	s ing
材	c ai
材料	c ai l iau
材質	c ai zh ii
村	c un
村內    z ng l ai
村子口    z ng t au
村民    c un bh in
杓	b iau
杓	sh au
杖	zh ang
杜	d u
杞	c i
束	sh u
杪	m iau
杭	h ang
杭州    h ang z iu
杯	b ei
杯    b ue
杰	z ie
東	d ong
東    d ang
東    d ong
東京	d ong z ing
東京    d ang g iann
東方	d ong f ang
東方    d ang b ing
東西	d ong s i
東西    m ih g iann
杲	g au
杳	iau
杴	s ien
杵	ch u
杷	p a
杻	n iou
杼	zh u
松	s ong
松鼠    p ong c i
板	b an
板橋	b an c iau
枇	p i
枉	uang
枋	f ang
析	s i
枓	zh u
枕	zh ern
林	l in
林    l im
林場    l im d iunn
枚	m ei
果	g uo
果然	g uo rh an
枝	zh ii
枝    g i
枯	k u
枰	p ing
枳	zh ii
架	z ia
架構	z ia g ou
枷	z ia
枸	g ou
枹	b au
枹	f u
柄	b ing
柏	b uo
柏油    d a m a g a
某	m ou
某    bh o
某些	m ou s ie
某人    bh o m i l ang
某個	m ou g er
柑	g an
柒	c i
染	rh an
染    n i
柔	rh ou
柘	zh er
柙	s ia
柚	iou
柝	t uo
柞	z uo
柢	d i
查	ch a
查看	ch a k an
查詢	ch a s yun
柩	z iou
柬	z ien
柯	k er
柱	zh u
柳	l iou
柴	ch ai
柴    c a
柵	zh a
柿	sh ii
柿子     ang k i
栓	sh uan
栗	l i
校	s iau
校園	s iau yuan
校長	s iau zh ang
校長    h au d iunn
栩	s yu
株	zh u
栱	g ong
栲	k au
栳	l au
栴	zh an
核	h er
核心	h er s in
根	g ern
根據	g ern z yu
根據    g in g i
根本	g ern b ern
根本    g in b un
格	g er
格式	g er sh ii
栽	z ai
桀	z ie
桂	g uei
桃	t au
桃園	t au yuan
桃園    t or h ng
桅	uei
框	k uang
案	an
案     an
案件	an z ien
案例	an l i
桉	an
桌	zh uo
桌上    d orh d ing
桌子    d orh  a
桌面	zh uo m ien
桎	zh ii
桐	t ong
桑	s ang
桓	h uan
桔	z ie
桫	s uo
桯	t ing
桲	b uo
桴	f u
桶	t ong
桶    t ang
桷	z yue
桿	g an
梁	l iang
梅	m ei
梆	b ang
梏	g u
梓	z ii
梔	zh ii
梗	g ng
條	t iau
條    d iau
條    z ua
條件	t iau z ien
條件    d iau g iann
條例	t iau l i
條款	t iau k uan
條目	t iau m u
梟	s iau
梠	l yu
梢	sh au
梧	u
梨	l i
梭	s uo
梯	t i
械	s ie
梳	sh u
梵	f an
棄	c i
棄    s ak
棉	m ien
棋	c i
棍	g un
棍    g un
棒	b ang
棒    z an
棒球	b ang c iou
棕	z ong
棗	z au
棘	z i
棚	p ng
棟	d ong
棟    d ong
棠	t ang
棣	d i
棧	zh an
棨	c i
森	s ern
森林	s ern l in
棰	ch uei
棱	l ng
棲	c i
棵	k er
棹	zh au
棺	g uan
棻	f ern
椅	i
椅子     i  a
植	zh ii
植物	zh ii u
椎	zh uei
椏	ia
椐	z yu
椒	z iau
椪	p ng
椰	ie
椴	d uan
椹	zh ern
椽	ch uan
椿	ch un
楂	ch a
楊	iang
楊桃     iunn d or
楓	f ng
楔	s ie
楚	ch u
楝	l ien
楞	l ng
楠	n an
楣	m ei
楦	s yuan
楨	zh ern
楫	z i
楬	z ie
業	ie
業務	ie u
業界	ie z ie
業者	ie zh er
楮	ch u
楯	sh un
極	z i
極為	z i uei
楷	k ai
楸	c iou
楹	ing
概	g ai
概念	g ai n ien
榆	yu
榔	l ang
榕	rh ong
榖	g u
榛	zh ern
榜	b ang
榧	f ei
榨	zh a
榫	s un
榭	s ie
榮	rh ong
榮獲	rh ong h uo
榴	l iou
榷	c yue
榻	t a
榿	c i
槁	g au
槃	p an
槊	sh uo
構	g ou
構成	g ou ch ng
槌	ch uei
槍	c iang
槎	ch a
槐	h uai
槓	g ang
槤	l ien
槨	g uo
槭	c u
槲	h u
槳	z iang
槽	c au
槿	z in
樁	zh uang
樂	l er
樂	yue
樂器	yue c i
樂園	l er yuan
樂團	yue t uan
樂趣	l er c yu
樅	c ong
樊	f an
樑	l iang
樓	l ou
樓    l au
標	b iau
標準	b iau zh un
標準    b iau z un
標示	b iau sh ii
標籤	b iau c ien
標誌	b iau zh ii
標題	b iau t i
樞	sh u
樟	zh ang
模	m uo
模型	m uo s ing
模式	m uo sh ii
模擬	m uo n i
模樣	m u iang
模樣	m uo iang
模樣    bh o  iunn
模樣    h ing
模糊	m uo h u
模糊    bh u
模組	m uo z u
樣	iang
樣     iunn
樣子	iang z ii
樣子    h ing
樨	s i
樵	c iau
樸	p u
樹	sh u
樹    c iu
樹    c iu  a
樹上    c iu  a d ing
樹下    c iu  a k a
樹葉    c iu h iorh  a
樺	h ua
樽	z un
樾	yue
橄	g an
橇	c iau
橇	c uei
橈	n au
橋	c iau
橋頭    g ior  a t au
橐	t uo
橕	ch ng
橘	z yu
橙	ch ng
橛	z yue
機	z i
機制	z i zh ii
機器	z i c i
機器人	z i c i rh ern
機場	z i ch ang
機會	z i h uei
機會    g i h ue
機會    s i g i
機械	z i s ie
機構	z i g ou
機率	z i l yu
機票	z i p iau
機車	z i ch er
機車     o d o bh ai
機車    g i c ia
機關	z i g uan
橡	s iang
橢	t uo
橫	h ng
檀	t an
檁	l in
檄	s i
檉	ch ng
檎	c in
檐	ien
檔	d ang
檔案	d ang an
檗	b uo
檜	k uai
檢	z ien
檢查	k ai s yuan
檢查    g iam z a
檢測	z ien c er
檢視	z ien sh ii
檢討	z ien t au
檢驗	z ien ien
檬	m ng
檯	t ai
檳	b in
檳榔    b in n ng
檸	n ing
檻	z ien
櫃	g uei
櫓	l u
櫚	l yu
櫛	z ie
櫞	yuan
櫟	l i
櫥	ch u
櫧	zh u
櫪	l i
櫫	zh u
櫬	ch ern
櫱	n ie
櫸	z yu
櫺	l ing
櫻	ing
欄	l an
權	c yuan
權利	c yuan l i
權力	c yuan l i
權益	c yuan i
欏	l uo
欒	l uan
欖	l an
欞	l ing
欠	c ien
欠    k iam
次	c ii
次    b ai
次    b en
次    c u
次    g ai
次數	c ii sh u
欣	s in
欣賞	s in sh ang
欣賞    h im s iong
欲	yu
欲     iok
欷	s i
欹	i
欺	c i
欺負    k i h u
欽	c in
款	k uan
款    k uan
歆	s in
歇	s ie
歉	c ien
歌	g er
歌    g ua
歌仔戲    g ua  a h i
歌手	g er sh ou
歌曲	g er c yu
歌聲    g ua s iann
歌詞	g er c ii
歎	t an
歐	ou
歐巴桑     o bh a s ang
歐洲	ou zh ou
歔	s yu
歙	s i
歡	h uan
歡樂	h uan l er
歡迎	h uan ing
歡迎    h uan gh ing
止	zh ii
止    d eh
止    z i
正	zh ng
正    z iann
正在	zh ng z ai
正在    d i l eh
正在    d ng d eh
正好	zh ng h au
正好    d u  a h or
正常	zh ng ch ang
正常    z ing s iong
正式	zh ng sh ii
正式    z ing g ing
正確	zh ng c yue
正義	zh ng i
正義    z ing gh i
正面	zh ng m ien
此	c ii
此    c u
此外	c ii uai
此時	c ii sh ii
步	b u
步    b o
步行	b u s ing
步道	b u d au
步驟	b u z ou
武	u
武功    bh u g ong
武器	u c i
武器    bh u k i
武士    bh u s u
武林    bh u l im
歧	c i
歪	uai
歲	s uei
歲    h ue
歲月	s uei yue
歷	l i
歷史	l i sh ii
歷史    l ik s u
歸	g uei
歸    g ui
歹	d ai
死	s ii
死    s i
死亡	s ii uang
死亡    g et g or
死亡    g ue s in
死刑犯    s i h uan
歿	m uo
殃	iang
殄	t ien
殆	d ai
殉	s yun
殊	sh u
殖	zh ii
殘	c an
殛	z i
殞	yun
殤	sh ang
殫	d an
殭	z iang
殮	l ien
殯	b in
殲	z ien
殳	sh u
段	d uan
段    d uann
殷	in
殺	sh a
殺    s at
殺    t ai
殺人	sh a rh ern
殺手    s at c iu
殼	k er
殿	d ien
殿    d en
毀	h uei
毅	i
毆	ou
毋	u
毌	g uan
母	m u
母    bh u
母親	m u c in
母親     a bh u
母親     a n ia
母親    bh u c in
母親    k a s ang
母親    l au bh u
每	m ei
每    m ui
每個	m ei g er
每個    d ak
每天	m ei t ien
每天    m ui r it
每次	m ei c ii
毐	ai
毒	d u
毒    d ok
毒    t au
毓	yu
比	b i
比    b i
比例	b i l i
比如	b i rh u
比賽	b i s ai
比賽    b i s ai
比起	b i c i
比較	b i z iau
比較    k ah
毗	p i
毛	m au
毛    m o
毫	h au
毬	c iou
毯	t an
毽	z ien
氂	l i
氅	ch ang
氆	p u
氈	zh an
氏	sh ii
氐	d i
民	m in
民主	m in zh u
民俗    bh in s iok
民國	m in g uo
民國    bh in g ok
民族	m in z u
民眾	m in zh ong
民進黨	m in z in d ang
民間	m in z ien
氓	m ang
氖	n ai
氘	d au
氙	s ien
氚	ch uan
氛	f ern
氟	f u
氡	d ong
氣	c i
氣    k i
氣候	c i h ou
氣功    k i g ong
氣息	c i s i
氣氛	c i f ern
氣象    k i s iong
氣質	c i zh ii
氤	in
氦	h ai
氧	iang
氨	an
氪	k er
氫	c ing
氬	ia
氮	d an
氯	l yu
氰	c ing
氳	yun
水	sh uei
水    z ui
水平	sh uei p ing
水底    z ui d e
水庫    z ui k o
水晶	sh uei z ing
水果	sh uei g uo
水果    g ue z i
水泥     am bh un t o
水準	sh uei zh un
水牛    z ui gh u
水筆仔    z ui b it  a
水路    z ui l o
水面    z ui bh in
永	iong
永久	iong z iou
永久     ing  uan
永遠	iong yuan
永遠     ing  uan
氾	f an
氿	g uei
汀	t ing
汁	zh ii
求	c iou
求    g iu
汆	c uan
汆	t un
汊	ch a
汎	f an
汐	s i
汔	c i
汕	sh an
汗	h an
汗    g uann
汙	u
汙染     u r iam
汛	s un
汜	s ii
汝	rh u
汞	g ong
江	z iang
江湖    g ang  o
池	ch ii
污	u
污染	u rh an
汨	m i
汩	g u
汪	uang
汰	t ai
汲	z i
汴	b ien
汶	un
決	z yue
決定	z yue d ing
決定    d iann d iorh
決定    g uat d ing
決心	z yue s in
汽	c i
汽車	c i ch er
汾	f ern
沁	c in
沂	i
沃	uo
沆	h ang
沈	ch ern
沈	sh ern
沉	ch ern
沉    d im
沌	d un
沏	c i
沐	m u
沒	m ei
沒    bh ue
沒事    bh or d ai z i
沒人    bh or l ang
沒有	m ei iou
沒有    bh i
沒有    bh or
沒有    bh u
沒有辦法    bh or h uat d o
沒用    bh or l o  ing
沒膽    bh or d ann
沒錯	m ei c uo
沓	t a
沔	m ien
沖	ch ong
沙	sh a
沙灘	sh a t an
沙發	sh a f a
沛	p ei
沫	m uo
沬	m ei
沭	sh u
沮	z yu
沱	t uo
河	h er
河    h or
河    s ui
沷	f u
沸	f ei
油	iou
油     iu
治	zh ii
治    d i
治嗽散    d i s au s an
治療	zh ii l iau
治療    d i l iau
沼	zh au
沽	g u
沾	zh an
沿	ien
沿海     en h ai
沿路     en l o
況	k uang
泄	s ie
泅	c iou
泉	c yuan
泊	b uo
泌	m i
泐	l er
泓	h ong
泔	g an
法	f a
法    h uat
法人	f a rh ern
法國	f a g uo
法官	f a g uan
法定	f a d ing
法師	f a sh ii
法律	f a l yu
法規	f a g uei
法輪功	f a l un g ong
法院	f a yuan
泗	s ii
泚	c ii
泛	f an
泠	l ing
泡	p au
泡    p ann
泡    p au
波	b uo
泣	c i
泥	n i
泥鰍    h o l iu
注	zh u
注    z u
注意	zh u i
注意    s e r i
注意    s ior s im
注意    z im z iok
注意    z u  i
注視    g im g im k uann
泫	s yuan
泮	p an
泯	m in
泰	t ai
泰國	t ai g uo
泰國    t ai g ok
泱	iang
泳	iong
泵	b ng
洄	h uei
洋	iang
洗	s i
洗    s e
洗澡    s e s in k u
洗衣    s e s ann
洙	zh u
洛	l uo
洞	d ong
洞    d ong
洞    k ang
洞穴    d ong k ang
津	z in
洧	uei
洨	s iau
洩	s ie
洪	h ong
洪     ang
洮	t au
洱	err
洲	zh ou
洵	s yun
洶	s iong
洸	g uang
洹	h uan
洺	m ing
活	h uo
活     uah
活力	h uo l i
活動	h uo d ong
活動     uah d ang
洽	c ia
派	p ai
派    p ai
流	l iou
流    l au
流    l iu
流動	l iou d ong
流浪	l iou l ang
流浪    l iu l ong
流程	l iou ch ng
流行	l iou s ing
流行    l iu h ing
流行    s i g iann
浙	zh er
浚	z yun
浠	s i
浡	b uo
浣	h uan
浦	p u
浩	h au
浪	l ang
浪     ing
浪    l ong
浪漫	l ang m an
浪費	l ang f ei
浪費    bh or c ai
浬	l i
浮	f u
浮    p u
浯	u
浴	yu
浴室	yu sh ii
浴室     ik g ing  a
海	h ai
海    h ai
海口    h ai k au
海報	h ai b au
海外	h ai uai
海岸	h ai an
海岸    h ai g inn
海岸    h ai h uann
海底    h ai d e
海水    h ai z ui
海洋	h ai iang
海浪    h ai  ing
海灘	h ai t an
海菜    h ai c ai
海角    h ai g ak
海邊    h ai b inn
海面    h ai bh in
海鮮	h ai s ien
浸	z in
浹	z ia
涂	t u
涅	n ie
涇	z ing
消	s iau
消失	s iau sh ii
消失    bh or k i
消失    s iau s it
消息	s iau s i
消息    s iau s it
消費	s iau f ei
消費者	s iau f ei zh er
消除	s iau ch u
涉	sh er
涉及	sh er z i
涎	s ien
涑	s u
涓	z yuan
涔	c ern
涕	t i
涪	f u
涮	sh uan
涯	ia
液	ie
涴	uo
涵	h an
涵    h am
涷	d ong
涸	h er
涼	l iang
涼    l iang
涼    l ing
涿	zh uo
淀	d ien
淄	z ii
淅	s i
淆	iau
淇	c i
淋	l in
淋     ak
淋    l am
淌	t ang
淑	sh u
淒	c i
淖	n au
淘	t au
淙	c ong
淚	l ei
淚    l ui
淝	f ei
淞	s ong
淠	p i
淡	d an
淡水	d an sh uei
淤	yu
淥	l u
淦	g an
淨	z ing
淩	l ing
淪	l un
淫	in
淬	c uei
淮	h uai
淯	yu
深	sh ern
深    c im
深入	sh ern rh u
深刻	sh ern k er
深圳	sh ern ch ou
深山    l ai s uann
深度	sh ern d u
深深	sh ern sh ern
淳	ch un
淵	yuan
淶	l ai
混	h un
混合	h un h er
混合    c am
混合    t au
淹	ien
淹     im
淺	c ien
添	t ien
添加	t ien z ia
淼	m iau
清	c ing
清    c ing
清單	c ing d an
清晰	c ing s i
清楚	c ing ch u
清楚    c ing c or
清洗	c ing s i
清涼    c ing l iang
清清    c ing c ing
清潔	c ing z ie
清潔    b iann s au
清潔    c ing k i
清香    c ing p ang
渙	h uan
渚	zh u
減	z ien
減    g iam
減少	z ien sh au
減肥	z ien f ei
渝	yu
渠	c yu
渡	d u
渣	zh a
渤	b uo
渥	uo
渦	uo
渫	s ie
測	c er
測試	c er sh ii
測量	c er l iang
測驗	c er ien
渭	uei
港	g ang
港    g ang
港口    g ang k au
渲	s yuan
渴	k er
渴望	k er uang
游	iou
游    s iu
游泳	iou iong
游泳    s iu z ui
游泳池	iou iong ch ii
渺	m iau
渼	m ei
渾	h un
湃	p ai
湄	m ei
湉	t ien
湊	c ou
湍	t uan
湎	m ien
湔	z ien
湖	h u
湖     o
湘	s iang
湛	zh an
湜	sh ii
湞	zh ern
湟	h uang
湣	m in
湧	iong
湫	z iau
湮	in
湯	t ang
湯    t ng
湯匙    t ng s i
湳	n an
溈	g uei
溉	g ai
溏	t ang
源	yuan
準	zh un
準    z un
準備	zh un b ei
準備    c uan
準備    z un b i
準時    z un s i
準確	zh un c yue
溘	k er
溜	l iou
溜    s uan
溝	g ou
溝通	g ou t ong
溝通    t ong
溟	m ing
溢	i
溢     ik
溢    bh u
溥	p u
溧	l i
溪	s i
溪    k e
溪    k e  a
溪水    k e  a z ui
溪水    k e z ui
溫	un
溫度	un d u
溫暖	un n uan
溫暖     un l uan
溫柔	un rh ou
溫柔     un r iu
溫泉	un c yuan
溫泉     un z uann
溫馨	un s in
溯	s u
溱	zh ern
溲	s ou
溴	s iou
溶	rh ong
溷	h un
溺	n i
溽	rh u
滁	ch u
滂	p ang
滄	c ang
滅	m ie
滇	d ien
滋	z ii
滋味	z ii uei
滋味    z u bh i
滌	d i
滎	s ing
滏	f u
滑	h ua
滑    g ut
滑鼠	h ua sh u
滓	z ii
滔	t au
滕	t ng
滬	h u
滯	zh ii
滲	sh ern
滴	d i
滴    d ih
滷	l u
滷    k ong
滸	h u
滹	h u
滻	ch an
滾	g un
滾    g un
滾    l en
滿	m an
滿    bh uan
滿    m ua
滿意	m an i
滿滿	m an m an
滿滿    b a
滿腹    m ua b ak
滿足	m an z u
滿足    g am gh uan
漁	yu
漁民    h i bh in
漁港    h i g ang
漁船    h i z un
漂	p iau
漂亮	p iau l iang
漂亮    bh i l e
漂亮    s ui
漆	c i
漈	z i
漉	l u
漊	l ou
漏	l ou
漓	l i
演	ien
演出	ien ch u
演出    b uann
演員	ien yuan
演唱	ien ch ang
演唱會	ien ch ang h uei
演奏	ien z ou
演講	ien z iang
漕	c au
漚	ou
漠	m uo
漢	h an
漣	l ien
漩	s yuan
漪	i
漫	m an
漫畫	m an h ua
漬	z ii
漯	t a
漱	sh u
漲	zh ang
漲    gh ia
漳	zh ang
漵	s yu
漷	k uo
漸	z ien
漸漸	z ien z ien
漸漸    z iam z iam
漾	iang
漿	z iang
潁	ing
潑	p uo
潔	z ie
潘	p an
潚	s iau
潛	c ien
潞	l u
潟	s i
潢	h uang
潤	rh un
潦	l au
潦	l iau
潬	d an
潭	t an
潮	ch au
潮流	ch au l iou
潯	s yun
潰	k uei
潲	sh au
潸	sh an
潺	ch an
潼	t ong
澀	s er
澀    s iap
澄	ch ng
澆	z iau
澆     ak
澇	l au
澈	ch er
澉	g an
澌	s ii
澍	sh u
澎	p ng
澎湖	p ng h u
澎湖    p inn  o
澐	yun
澗	z ien
澠	m in
澡	z au
澤	z er
澥	s ie
澧	l i
澮	k uai
澱	d ien
澳	au
澳洲	au zh ou
澳門	au m ern
澶	ch an
激	z i
激    g ik
激情	z i c ing
激烈	z i l ie
濁	zh uo
濂	l ien
濃	n ong
濕	sh ii
濕漉漉    d am g o g o
濘	n ing
濛	m ng
濞	p i
濟	z i
濠	h au
濡	rh u
濤	t au
濫	l an
濮	p u
濯	zh uo
濰	uei
濱	b in
濺	z ien
濼	b uo
濼	l uo
濾	l yu
瀅	ing
瀆	d u
瀉	s ie
瀋	sh ern
瀍	ch an
瀏	l iou
瀏覽	l iou l an
瀏覽器	l iou l an c i
瀑	p u
瀕	b in
瀘	l u
瀚	h an
瀛	ing
瀝	l i
瀟	s iau
瀠	ing
瀦	zh u
瀧	l ong
瀨	l ai
瀯	ing
瀰	m i
瀲	l ien
瀵	f ern
瀾	l an
灃	f ng
灄	sh er
灌	g uan
灑	s a
灕	l i
灘	t an
灝	h au
灞	b a
灣	uan
灤	l uan
灩	ien
火	h uo
火    h ue
火災    h ue z ai
火車	h uo ch er
火車    h ue c ia
火車站	h uo ch er zh an
火車站    h ue c ia t au
火鍋	h uo g uo
火雞    h ue g e
灰	h uei
灶	z au
灸	z iou
灼	zh uo
災	z ai
炊	ch uei
炊    c ue
炎	ien
炒	ch au
炒    c a
炒飯    c a b ng
炔	c yue
炕	k ang
炖	d un
炘	s in
炙	zh ii
炫	s yuan
炬	z yu
炭	t an
炮	p au
炯	z iong
炳	b ing
炷	zh u
炸	zh a
炸    z inn
為	uei
為     ui
為主	uei zh u
為了	uei l er
為了     ui d iorh
為什麼	uei sh er m er
為什麼	uei sh ii m er
為何	uei h er
為何     ui h or
為止	uei zh ii
為止     ui z i
烈	l ie
烊	iang
烏	u
烏     o
烘	h ong
烘    h ang
烙	l au
烜	s yuan
烤	k au
烤    h ang
烯	s i
烴	c ing
烴	z ing
烷	uan
烹	p ng
烺	l ang
烽	f ng
焉	ien
焊	h an
焗	z yu
焙	b ei
焚	f ern
焜	k un
焠	c uei
無	u
